jd_no,工作名称,工作城市,工作类型,招聘人数,薪资,招聘开始时间,招聘结束时间,是否要求出差,工作年限,最低学历,工作描述
b57ffcba110cc479846b172ddca69d38,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
32579461fe07c7861ae1d87bae54e77b,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
615891475fe6b9b3b2e5cca5fa8b84c2,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
51e88e8b9376536236471a812eb5c913,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
d4ca1840a8fcf4722b6bb64acaca107b,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
f8d43c92f101cf2063ff141cf43cfe19,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
d68cb45723915bb52839281598440458,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
a14aee6b4eef036363b5a2663e4bcf52,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
59d6b9206baafe5276965e5212969420,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
9e9b7c62780cc55a929fb04bfc55ea6c,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
0a020c74f20bf7e2f94910f2db3500f8,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
c69f36b363add3be41a303f5b14fac36,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
7bc91c7e8c141d95edc0eb942d5eada4,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
d415bc0c6d4d432497f3c2f0e6e68d38,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
0b427e642a5c9cb33f059b7a9054f5f5,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
1a615fe1bb0402741fe8e7699e6efd8c,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
