user_id,居住城市,期望工作城市,期望工作行业,期望工作类型,期望薪资,当前工作行业,当前工作类型,当前薪资,学历,年龄,开始工作时间,工作经验
17e1b9f107dd1214bd78dec6d91593a4,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
0c02d9411e83ae0308cdc40700385d4c,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
1f4504451a08e1e99e0b394e03f24b43,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
127b43572875dea9ed858da73a651433,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
15c607e1798305fb9f2e525d964a1185,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
2e1fa5384caaa1757dc2db8d5b44c5cf,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
08b7a0e07cc0d8213cc4da58db2db590,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
1e6370900df60e46e4d3a7564943c00b,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
05b8622d1cac25339b43b39c52fa9a19,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
03aa33f2c60d24171ff00c19ae275ae8,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
02ee56d58a575eb322a058ad79cfabb9,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
264415e1e6ac7044a1e5fd05c15c466a,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
12922ecb8e4c5726664800cf9aeb10c0,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
2456b26bcd90d7124a8b5d665387dfaa,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
067ad615dd846785a786a36c70bade6b,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
27520e07bc2047b34007392122b6b4d9,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
28970b1ff5cdc60b57acc59c88b45029,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
2673c6fbcf663e1f92857091753ffd7d,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
2ff0aa2bb2d6f510b613daceca92d66f,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
04b05e1a153a23495f4faa2355d18629,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
