user_id,industries,resume functions,languages,educations,experiences,projects,Resume Basic Info,preferred locations
ed8a7d9bf85228ea319ae33239e3b285ac0ff150bac3156cce3424d774a7cfb4,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
715e8aa2e7aceffe1a7ec5976605c76cd5526fa65c2d20483984316e24308128,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
67851107612a48eef44541b57429951156326cf5100a83a9418fdbc0a4ec9acf,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
b7a3d9497260e0ad193bbbb93453e7d6afcbf73ded68ee3ab1b416ea1eceaf37,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
8e26e6fb2ee015f313dbf7456819fa039ad76703cfd93c75b017c6eb0c9afe41,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
0a8e9e6b00deac0dc2bb2f22e71ba8da3e398dec131231905f5714b38e4f514c,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
d34c44730f77a5e802c14816ee0142bd9a4437a9ff9db6edc74fabd00e38582b,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
068b3388b2f618d19cef155285ddefe081dd64ea9b6a051e7af50d2ee207e1c9,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
d2b8634afd1ce5a629ffe9f846d79f1c9558c3de6f65357387654f83e8755435,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
44bf9504a38605b19a374a9c74955333d3b6ecce969dcdb07b033bb5e19a98d6,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
af56829e05b2eeb6d084b07af2a8a9a2e69412b6054dcb22a1672dceb3adafa3,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
1db2c950cd7b1937ac111024f0ab9586bf1e9b41ea01d2b0221275cb9758f11f,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
1107924c5590f53025d83b3afaa3e413a7ba109abe0a4abdf16a960b733442a4,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
583eeddd837b525b29ec2e2ea41707ef1a372b359ea2a8b4d0b46568aedafed9,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
cdffd9d63e228c361ec138e7b2f71ffc93d7822a1c574a808eb6b5fc7f0453bb,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
07f0d54df3f23c4cf4c9b0b749e3c6950202437d70acdb23ff78565d74bc4933,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
76b56fe1ab405822e3e5b11e30b976417c8dc55df25c13242220ed4430d00b7f,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
876b2bd23a6467b116f4dcf456399316f2c2e1d597efa174dadea2ebd2c6e587,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
cc8f408bfa7beaf66e618a61dc35701f661bd01bbbc9bba7ea052cc8a8df6d66,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
70e1f2034696013b9a47c5f9a3a7c2e05f8bc19ddf36b1f3146b973bfa34c4b8,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
7ca6f98cd62c6617f7ddaf582ae8d5b99bf2ddbf8659fb748e413f2b05eb32fc,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
15771bd54b900b59840571274944b13fa9310854aa4fe617774cac2c506931f0,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
5a5e232098aca912be876b6280d553f75158dc235c05dfcd8728b7a372b08dca,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
8d4169ec051e1bccd6ab656686ad5f4796a2dc106788c4d8cfba19f6a12d8cac,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
8ceaafd547872ab6d53ad2ff3345a8f22c805837f7306baeaa4679ea5fec411f,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
6b1bbdef02dee34f953a5bdb01db382f2ee5a6b35cf153ce34977009c420f018,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
20e2374cceb16abe93fe269fe3999ed53b513f2421d7f008bf5e1b6b28729425,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
3b9db186deb7f3c1699637d88ab083e636892e301e8ba5a619402aefc5d1592b,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
c69d48a1efac27a2a5d94ceacd6bceff96567a0c42bb1294b518db90d2d8214a,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
f9039c1f6e9374b80cd24a714407f998c910dc49ee4c2ec513d9343efd8cb0f3,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
dc079ef7adb5a13a32ac4d807a7bdb31f0613525f76ceaa4b143632b88b18585,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
87b3e06e5a8c3c5f087458f2d56580dd9ec803435598587522636f359125b39d,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
d870be01e27d9e73c3d8df1d4a3146df8a3973829b66fd326071ef64cc1bcd0d,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
762a1b57158788d1db423e8b0082066787b89f62cb15f862888f39246e2ccb39,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
78e4b67a038a6f96e2c135b83e310eed5706211fe28a5981153d607c4b853eb0,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
0fb6d6b56f62ee7e0faf8ed0e15d10c426922c93ae7d88d426c74c0ff55662b5,[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]],[[dummy_text]]
